DATASET;NODE;HEAD;MSE;SSIM;GLITCH;MESH_MSE
GTURIR;1500;8;0.0699;0.1370;282.9919;0.00010205366318181817
GTURIR;150;8;0.0429;0.3125;122.9758;0.00026649930454545457
GTURIR;3000;8;0.0427;0.2614;142.0855;8.557274636363637e-05
GTURIR;300;8;0.0554;0.2531;188.9202;0.00019343586136363636
GTURIR;30;8;0.0344;0.3482;133.9824;0.0013721860872727273
BUTReverbDB;1500;8;0.0556;0.2288;672.1246;0.0006510446697777778
BUTReverbDB;150;8;0.0250;0.5050;177.6781;0.0013644664055555554
BUTReverbDB;3000;8;0.0275;0.4126;258.9320;0.0005391378016666666
BUTReverbDB;300;8;0.0368;0.3892;314.0397;0.0014941072744444445
BUTReverbDB;30;8;0.0240;0.5203;159.0269;0.003615981461111111
